Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UppperConfidenceBound,ThompsonSampling
34,9.935211140837893,12.94557121144407,10.863494786745365,10.82225515218459
35,10.003762627267054,13.267547614776976,11.05895951815681,11.014645836294639
36,10.072314113696217,13.54258470415732,11.261106204149701,11.207036520404689
37,10.517424475508388,13.699631530130763,11.456570935561146,11.399427204514737
38,10.758127951717357,13.858321303747193,11.65203566697259,11.591817888624785
39,10.902462114107177,14.18117490405223,11.847500398384037,11.784208572734835
40,11.216567332299498,14.301499323594731,12.042965129795482,11.983281211426329
41,11.409362749668041,14.422643748495204,12.238429861206928,12.175671895536379
42,11.601819904458937,14.743824348240787,12.433894592618373,12.368062579646427
43,11.93031890198841,14.958204721669578,12.629359324029817,12.560453263756475
44,12.11432941396153,15.151065655251381,12.82482405544126,12.752843947866525
45,12.30250115311133,15.19160491510039,13.020288786852706,12.945234631976572
46,12.549662083764016,15.279633090641672,13.215753518264147,13.137625316086622
47,12.962956849914784,15.351897461279156,13.41121824967559,13.330016000196668
48,13.098071635583196,15.387715192490413,13.606682981087033,13.522406684306713
49,13.202924502723812,15.575626604591966,13.802147712498476,13.71479736841676
50,13.202924502723812,15.783705481914364,13.997612443909919,13.907188052526806
51,13.535647671799595,15.999413645003633,14.19307717532136,14.099578736636852
52,13.711361477073648,16.153928358716875,14.388541906732803,14.291969420746899
53,13.83853686722009,16.243893371580853,14.584006638144245,14.484360104856943
54,14.038658286802209,16.405188764837497,14.779471369555688,14.67675078896699
55,14.192416610372964,16.513625226531822,14.974936100967131,14.869141473077036
56,14.374743300495002,16.68485271242327,15.170400832378572,15.061532157187083
57,14.374743300495002,17.07222499396753,15.365865563790015,15.253922841297129
58,14.789457676944249,17.212247460171643,15.561330295201458,15.446313525407174
59,14.861911236859351,17.426781580560938,15.7567950266129,15.63870420951722
60,14.959335623631898,17.51655487763792,15.952259758024343,15.831094893627267
61,15.026531360532767,17.683401532694113,16.147724489435785,16.02348557773731
62,15.085490314463746,17.910377951531558,16.34318922084723,16.21587626184736
63,15.302407652548201,18.02189860380873,16.53865395225867,16.408266945957404
64,15.50678340440352,18.224151838566893,16.73411868367011,16.600657630067452
65,15.880413804459213,18.420883377399054,16.929583415081556,16.793048314177497
66,15.950251005182363,18.622045099181385,17.125048146492997,16.985438998287542
67,16.169999719414598,18.863449026386547,17.32051287790444,17.17782968239759
68,16.29023320583922,18.970661027268317,17.515977609315883,17.370220366507635
69,16.386480411588884,18.970661027268317,17.711442340727324,17.562611050617683
70,16.71381856349376,18.970661027268317,17.906907072138768,17.755001734727728
71,16.83229110147617,19.047505158422677,18.10237180355021,17.95407437341922
72,16.904555472113653,19.159025810699852,18.297836534961654,18.14646505752927
73,17.23723325384704,19.3262053149848,18.493301266373095,18.338855741639314
74,17.322559947536256,19.42307318540509,18.688765997784536,18.531246425749362
75,17.74851162559902,19.453594915431747,18.884230729195984,18.72363710985941
76,17.903177676699265,19.527316188802864,19.07969546060743,18.91602779396946
77,18.05903249071448,19.7976294338249,19.27516019201887,19.108418478079507
78,18.05903249071448,19.87987977690066,19.470624923430314,19.30080916218955
79,18.153378652895725,19.93860834762438,19.666089654841755,19.493199846299596
80,18.175609632889447,20.208771743466084,19.8615543862532,19.685590530409648
81,18.339741298428862,20.267730697397063,20.057019117664645,19.877981214519696
82,18.507560045023553,20.36531706697895,20.25248384907609,20.07037189862974
83,18.580013604938653,20.422801063967576,20.44794858048753,20.26276258273979
84,18.942856105922765,20.54568289124853,20.643413311898975,20.455153266849834
85,18.942856105922765,20.711561600974132,20.838878043310416,20.64754395095988
86,19.009516430007725,20.89759379355062,21.034342774721857,20.839934635069927
87,19.201463160556884,20.938649799177995,21.2298075061333,21.03232531917997
88,19.277142617007033,20.938649799177995,21.425272237544746,21.22471600329002
89,19.471466794457328,20.97449819643315,21.62073696895619,21.41710668740007
90,19.524490896587615,20.97449819643315,21.816201700367635,21.609497371510116
