Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UppperConfidenceBound
144,24.18219351334078,26.678076623722,40.912336899069984
145,24.209896541218942,26.82907153293604,41.193767263740384
146,24.395475113867377,26.893649919619122,41.47519762841078
147,24.51868328673931,26.933497436287336,41.75662799308118
148,24.68210712483323,27.015941591258752,42.03805835775158
149,24.764968550132547,27.20326860750554,42.31948872242198
150,24.83658810491854,27.319214669081894,42.60091908709238
151,24.898677419076883,27.452316169040994,42.88234945176278
152,25.055191422193573,27.523714152619682,43.16377981643318
153,25.078667676481608,27.600882297549315,43.445210181103576
154,25.11276202647837,27.654137705506788,43.726640545773975
155,25.256994493115428,27.764365693507166,44.008070910444374
156,25.359858202137715,27.876910273489255,44.28950127511477
157,25.53455324440428,27.97984295486058,44.57093163978517
158,25.629385781616797,28.049464114576995,44.85236200445557
159,25.657088809494958,28.20933817331963,45.13379236912597
160,25.684791837373115,28.33669133961763,45.41522273379637
161,25.830443965178382,28.376538856285844,45.69665309846677
162,25.85814699305654,28.537411648495794,45.97808346313717
163,25.885850020934697,28.681820830840245,46.25951382780757
164,26.006456262134954,28.767090053340002,46.540944192477966
165,26.140231618450617,28.86721560128791,46.822374557148365
166,26.167934646328774,29.00965460030712,47.103804921818764
167,26.35492969092784,29.249517218846158,47.38523528648916
168,26.439067331915442,29.303944970291546,47.66666565115956
169,26.536397479100636,29.502543451241934,47.94809601582996
170,26.8153554065037,29.58533052181418,48.22952638050036
171,26.86277192989768,29.650205431120646,48.51095674517076
172,26.971635216547355,29.794086025387323,48.79238710984116
173,27.06073754571174,29.881970278639397,49.07381747451156
174,27.124712818098097,29.92181779530761,49.355247839181956
175,27.232079096571645,29.995647457333433,49.636678203852355
176,27.343854832435234,30.12983151323707,49.918108568522754
177,27.49503263101274,30.17964930011877,50.19953893319315
178,27.522735658890902,30.319824070382356,50.48096929786355
179,27.673851222045812,30.351589042423967,50.76239966253395
180,27.790163138445752,30.405071957400896,51.04383002720435
181,27.81786616632391,30.46314744265113,51.32526039187476
182,27.845569194202067,30.64594639737536,51.60669075654518
183,27.923143071942025,30.804213494361203,51.88812112121559
184,28.041200372685502,30.888111622762903,52.169551485886004
185,28.11472118730061,31.023583260577066,52.450981850556424
186,28.258386142941696,31.130201465552453,52.73241221522684
187,28.381951641846122,31.192334369066394,53.01384257989726
188,28.468438660759393,31.22409934110801,53.29527294456767
189,28.548344298917662,31.26957680408151,53.576703309238084
190,28.66051858356183,31.377652675235623,53.858133673908505
191,28.75717447636912,31.51929519591501,54.13956403857892
192,28.933515144223144,31.55106016795662,54.42099440324934
193,28.980593703494993,31.58282513999823,54.70242476791975
194,29.029778835284844,31.767963725386217,54.983855132590165
195,29.208933357980776,31.83942873834451,55.265285497260585
196,29.393780392198828,31.93390528620743,55.546715861931
197,29.532933582267628,31.99966939750408,55.82814622660142
198,29.560636610145785,32.03143436954569,56.10957659127183
199,29.647785959928036,32.109035771994364,56.391006955942245
