Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
261,26.460460880657383,29.579009335039114
262,26.579546758507234,29.687678032181395
263,26.657609029446554,29.750917689158378
264,26.750211092138546,29.803089601506638
265,26.87363933842285,29.859434888166476
266,26.907421354499867,29.890418642058545
267,26.93834395458644,29.906440734928065
268,27.088556057506004,30.030888967841797
269,27.1800073528993,30.130133593981327
270,27.342260225003646,30.33594483465418
271,27.429346488435264,30.351966927523698
272,27.444411945573517,30.421016518327548
273,27.50712113723397,30.53688141773471
274,27.55853234878872,30.611491543269985
275,27.654914181543564,30.63120500406065
276,27.837332847997907,30.64722709693017
277,27.852645429370625,30.692225066748215
278,27.863441211360616,30.74181756041262
279,27.94488573575658,30.777946335735187
280,27.980659423901045,30.878634507337733
281,28.025395175122345,30.947319720403385
282,28.143031774359123,31.068309455956552
283,28.153827556349114,31.157063191710154
284,28.21210077865079,31.201977048041652
285,28.274118930920555,31.32233234201786
286,28.354726313788763,31.338262422163393
287,28.38304749615039,31.40207239251683
288,28.438681569042977,31.432017085826423
289,28.461493953854948,31.456019858653754
290,28.524140205586313,31.58086977674619
291,28.534935987576308,31.596799856891728
292,28.690700634454835,31.664083427825783
293,28.776495038848186,31.73387517041029
294,28.79536351351997,31.862748257724014
295,28.83023625680886,31.987038313653624
296,28.893512062880205,32.10455692760393
297,28.904307844870196,32.125536471393005
298,29.011089232730246,32.22687117067203
299,29.070269900431775,32.264745253185126
300,29.143869496123784,32.32823475560769
301,29.209776092919917,32.34425684847721
302,29.265971497723303,32.401055175615426
303,29.276767279713294,32.47060891034552
304,29.37868888105329,32.54797706658233
305,29.509746308519777,32.663608027743194
306,29.57648613110706,32.71301271423895
307,29.711157424827384,32.7794114788142
308,29.721953206817375,32.84825962414613
309,29.754995942628522,32.92923436924396
310,29.774076149853208,32.99289066596519
311,29.784871931843202,33.00891275883471
312,29.87560112263011,33.054437649581395
313,29.886396904620103,33.08515655948089
314,29.9064977927708,33.167082402120364
315,29.917293574760794,33.330435770513716
316,30.001062373602764,33.39062346747677
317,30.08646667039642,33.55560250515014
318,30.11160019088867,33.629538314263314
319,30.19850424348008,33.6811158231367
320,30.312312108844594,33.69704590328224
321,30.43586001449976,33.71306799615176
322,30.4616174575123,33.79789656210744
323,30.472413239502295,33.89115590687251
324,30.488261154067306,34.00547278812936
325,30.546641241156607,34.067044640490614
326,30.61863753327669,34.10072664466291
327,30.643771053768937,34.14771185917361
328,30.70206792340961,34.283922792728525
329,30.760448010498912,34.34702944945011
330,30.86230290451083,34.42403636121374
331,30.92894323361012,34.50687654340584
332,30.93973901560011,34.54055854757814
333,30.9505347975901,34.61740926680471
334,31.00553814519198,34.67754691256213
335,31.021386059756992,34.72342678492825
336,31.055496141628385,34.78128141903625
337,31.066291923618376,34.883841660101375
338,31.12270521163946,34.951249533779574
339,31.18603605207619,35.03792435908373
340,31.326074637980945,35.176998111696854
341,31.35106453929385,35.28913173892157
342,31.437850263093917,35.370648461833234
343,31.448646045083912,35.47859777130326
344,31.47435536847913,35.65952452466381
345,31.493576976616573,35.72298129327194
346,31.556952976749365,35.73900338614146
347,31.62529305605641,35.7961640043932
348,31.682506001880018,35.85774817253649
349,31.858984751309247,35.99545305268883
350,31.86978053329924,36.07903598288384
351,31.880576315289233,36.25131464519007
352,31.974533327411102,36.294065107049946
353,32.11729492470066,36.322103802741445
354,32.20035773334504,36.41677032636012
355,32.21115351533503,36.43279241922964
356,32.2771319136467,36.44881451209916
357,32.31580548063317,36.51205416907614
358,32.42444839508224,36.60830518169913
359,32.522675082352364,36.71986465552435
360,32.56526411643158,36.80744170999521
361,32.59319026221322,36.84017087458658
362,32.67583424811668,36.88724893727509
363,32.790486285015945,36.95986589633487
364,32.88699001091233,37.00083956957508
365,32.935006279604096,37.0168616624446
366,32.97758808179392,37.134264816553646
367,33.049014192830555,37.220107022789435
368,33.10689096219813,37.31407493650069
369,33.19966208384961,37.33009702937021
370,33.26083453754533,37.3399696168873
371,33.358156672148326,37.3882698834516
372,33.457738607883606,37.40429197632112
373,33.519795867938136,37.44567967188957
374,33.62778855917474,37.5158379222877
375,33.82785490987725,37.559726895752895
376,33.918129766179774,37.62656527733088
377,34.014302298717816,37.697488842479025
378,34.02509808070781,37.78817596822707
379,34.134984947780715,37.886192406367734
380,34.29823781902491,37.960894544626996
381,34.412109061724415,37.976916637496515
382,34.533884521625005,38.07554574058247
383,34.63073054433261,38.14885654258579
384,34.6415263263226,38.24448984174976
385,34.71067954306528,38.316533126648274
386,34.756026908089794,38.34926229123965
387,34.85268325128212,38.36528438410917
388,34.863479033272114,38.447970552737715
389,34.874274815262105,38.59457542012853
390,34.94536788485953,38.631729270502305
391,35.00807707651998,38.77340564012651
392,35.073774330788595,38.81009197652502
393,35.09145717203838,38.82602205667056
394,35.10225295402837,38.958837122589635
395,35.12133316125306,38.974859215459155
396,35.208484251209114,38.990881308328674
397,35.27487705563258,39.04225056274901
398,35.28567283762257,39.05827265561853
399,35.35462292233687,39.13031594051704
400,35.39898910512175,39.17707355189173
401,35.41821071325919,39.24676907775714
402,35.465276105801806,39.26279117062666
403,35.476071887791804,39.37631018286947
404,35.60032031057928,39.47597514882041
405,35.76536192212677,39.49199724168993
406,35.80435522168572,39.592556150215714
407,35.96936787585804,39.72757018026577
408,35.98016365784803,39.74359227313529
409,36.051201975695335,39.75961436600481
410,36.11547090582263,39.77563645887433
411,36.260136861629334,39.848231145271626
412,36.2857214733733,39.895216359782324
413,36.344352318243565,39.931584770521354
414,36.35514810023356,40.00406863666178
415,36.43952645906333,40.10724644126312
416,36.45410562169845,40.19930385269871
417,36.464901403688444,40.262205560307194
418,36.5365670143983,40.40113616296084
419,36.60012417710508,40.41715825583036
420,36.62691458448977,40.43318034869988
421,36.69129250765105,40.47471826570219
422,36.730397597752116,40.5979500033582
423,36.76556391618062,40.69376922036697
424,36.82137333649756,40.76624992105417
425,36.83216911848755,40.8527067050074
426,36.90447369577319,40.98390820754757
427,36.93239984155484,41.0173358756832
428,37.07704077666496,41.1800890509633
429,37.14150999165084,41.210448882335086
430,37.25679377265142,41.2588075556318
431,37.26758955464141,41.27482964850132
432,37.2783853366314,41.319743504832815
433,37.314861762102936,41.335765597702334
434,37.40261586320735,41.351787690571854
435,37.44578183161611,41.4011923770676
436,37.4772827795843,41.56383665883359
437,37.49945834346007,41.700314837238274
438,37.59706260776959,41.81087319424364
439,37.607858389759585,41.899952867882476
440,37.71044673331686,41.95000366591968
441,37.765652265450434,42.01684204749767
442,37.92859915038737,42.03286414036719
443,37.99032618750081,42.06923255110622
444,38.001121969490804,42.175431627875184
445,38.0517836962518,42.21411700323224
446,38.1163303380399,42.23013909610176
447,38.1271261200299,42.24616118897128
448,38.19529530690109,42.33015792991684
449,38.25569247688132,42.378967324111514
450,38.341205987806866,42.49753995742091
451,38.35200176979686,42.51356205029043
452,38.39267995386851,42.52958414315995
453,38.4034757358585,42.623677126806506
454,38.41834796967611,42.639699219676025
455,38.4291437516661,42.71633478577921
456,38.54076019965346,42.761958387262574
457,38.59216471825511,42.80960528543869
458,38.62050575344701,42.82562737830821
